Service,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
General public services,50.7,51.6,47.6,45.7,48.8,52.9,55.2,56.3,58.2,61.2,54.9,67.3,67.2,61.4,61.8,58.7,58.7
Public and common services,10.9,10.6,12.1,12.6,13.7,14.9,15.3,14.8,14.2,15.5,15.0,13.7,12.1,11.7,11.5,11.7,11.8
International services,5.0,5.6,5.7,5.8,6.4,6.8,7.4,7.3,7.6,7.1,7.7,8.3,8.2,8.0,10.0,10.5,10.1
Public sector debt interest,34.7,35.5,29.8,27.3,28.6,31.2,32.4,34.2,36.5,38.7,32.1,45.3,46.9,41.7,40.4,36.5,36.7
Defence,34.2,34.3,33.5,34.8,36.3,36.6,37.1,37.4,38.2,40.6,41.1,42.0,40.8,37.5,37.0,36.7,36.6
Public order and safety,25.1,27.2,30.5,31.5,33.3,35.0,35.1,35.3,36.0,37.2,37.1,35.4,33.8,32.3,30.0,29.6,30.2
Economic affairs,29.3,31.8,36.5,39.6,41.8,41.3,42.2,43.6,42.4,54.9,53.0,42.8,38.8,36.2,38.6,38.2,45.1
Enterprise and economic development,6.0,6.5,6.7,7.6,7.6,8.0,7.7,7.3,8.1,17.9,13.3,5.2,5.0,5.2,5.8,5.1,5.3
Science and technology,1.9,1.9,2.2,2.7,2.9,3.1,3.6,3.4,3.7,3.5,3.9,3.6,3.8,3.4,4.3,4.5,4.8
Employment policies,4.8,5.1,4.4,3.9,4.0,3.9,3.9,3.8,2.4,3.9,4.5,5.0,3.4,3.0,3.7,3.1,2.4
"Agriculture, fisheries and forestry",5.9,6.3,8.3,6.3,6.7,6.6,6.7,5.9,4.9,6.4,6.3,5.9,6.1,5.5,5.5,5.2,4.5
Transport,10.8,12.0,14.9,19.1,20.6,19.7,20.3,23.1,23.4,23.2,25.0,23.0,20.5,19.2,19.4,20.3,28.1
Environment protection,6.7,6.8,7.1,7.7,7.8,8.6,10.2,10.9,10.9,10.2,11.3,11.7,11.1,11.0,11.4,11.6,11.6
Housing and community amenities,6.4,7.3,8.2,7.0,8.5,9.8,12.8,13.4,14.7,16.9,17.8,14.2,10.7,10.3,10.0,10.2,10.0
Health,67.3,72.4,78.9,85.4,94.5,101.9,107.5,110.0,114.7,120.0,127.3,128.2,127.9,128.4,131.5,134.2,138.7
"Recreation, culture and religion",10.5,10.4,11.3,12.0,12.2,12.3,12.9,13.2,13.5,13.7,14.4,13.9,13.2,13.1,11.6,12.5,11.4
Education,57.5,61.3,67.5,70.5,76.9,80.0,83.5,84.8,89.3,91.6,96.4,97.9,91.2,87.0,86.7,85.8,84.0
Social protection,167.7,171.6,181.2,187.4,196.3,201.6,204.7,205.6,213.9,224.6,242.9,246.4,258.3,261.9,258.1,261.1,264.2
EU transactions,-3.7,-3.5,-6.3,-2.5,-2.6,-1.1,-0.7,-2.1,-1.7,-3.2,1.0,6.3,4.5,6.9,7.3,6.2,7.7
Total Managed Expenditure,480.7,500.6,527.1,556.8,590.1,626.4,649.4,661.3,685.0,727.0,754.2,763.7,754.4,755.1,748.0,747.2,753.0
