Service,2011,2012,2013,2014,2015
General public services,63.7,59.4,60.8,58.6,58.7
Public and common services,11.5,11.3,11.3,11.7,11.8
International services,7.7,7.7,9.8,10.5,10.1
Public sector debt interest,44.5,40.4,39.7,36.5,36.7
Defence,38.7,36.3,36.4,36.7,36.6
Public order and safety,32.1,31.3,29.6,29.6,30.2
Economic affairs,36.8,35.0,38.0,38.2,45.1
Enterprise and economic development,4.8,5.0,5.7,5.1,5.3
Science and technology,3.6,3.3,4.2,4.5,4.8
Employment policies,3.2,2.9,3.7,3.1,2.4
"Agriculture, fisheries and forestry",5.8,5.3,5.4,5.2,4.5
Transport,19.4,18.5,19.1,20.3,28.1
Environment protection,10.5,10.7,11.2,11.6,11.6
Housing and community amenities,10.2,10.0,9.8,10.2,10.0
Health,121.3,124.3,129.4,134.1,138.7
"Recreation, culture and religion",12.5,12.7,11.4,12.4,11.4
Education,86.5,84.2,85.3,85.7,84.0
Social protection,244.8,253.4,254.0,260.9,264.2
EU transactions,4.3,6.7,7.2,6.2,7.7
