Service,2011,2012,2013,2014,2015
General public services,3.9,3.5,3.5,3.2,3.1
Public and common services,0.7,0.7,0.6,0.6,0.6
International services,0.5,0.5,0.6,0.6,0.5
Public sector debt interest,2.7,2.4,2.3,2.0,2.0
Defence,2.4,2.2,2.1,2.0,1.9
Public order and safety,2.0,1.9,1.7,1.6,1.6
Economic affairs,2.3,2.1,2.2,2.1,2.4
Enterprise and economic development,0.3,0.3,0.3,0.3,0.3
Science and technology,0.2,0.2,0.2,0.2,0.3
Employment policies,0.2,0.2,0.2,0.2,0.1
"Agriculture, fisheries and forestry",0.4,0.3,0.3,0.3,0.2
Transport,1.2,1.1,1.1,1.1,1.5
Environment protection,0.6,0.6,0.6,0.6,0.6
Housing and community amenities,0.6,0.6,0.6,0.6,0.5
Health,7.4,7.4,7.4,7.3,7.4
"Recreation, culture and religion",0.8,0.8,0.6,0.7,0.6
Education,5.3,5.0,4.9,4.7,4.5
Social protection,15.0,15.0,14.4,14.2,14.1
EU transactions,0.3,0.4,0.4,0.3,0.4
